name,area,matchedName,status,lat,lng,sourceTitle,sourceUrl,note
PMB VIVIT HANDAYANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB YANTI SUSANTI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB YEYET SUMIATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PRATIWI SWASTIKA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PUSKESMAS BOJONGLARANG,Kabupaten Cianjur,PUSKESMAS BOJONGLARANG,referensi,-7.259686,107.001358,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS BOJONGPICUNG,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PUSKESMAS CAMAPAKAMULYA,Kabupaten Cianjur,PUSKESMAS CAMPAKAMULYA,referensi,-7.078458,107.170661,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,"Padanan nama/kode: PUSKESMAS CAMPAKAMULYA. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat referensi 2022; belum diperiksa di lapangan."
PUSKESMAS CAMPAKAMULYA,Kabupaten Cianjur,PUSKESMAS CAMPAKAMULYA,referensi,-7.078458,107.170661,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIANJUR KOTA,Kabupaten Cianjur,PUSKESMAS CIANJUR KOTA,referensi,-6.824906,107.132542,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIBINONG,Kabupaten Cianjur,PUSKESMAS CIBINONG,referensi,-7.315739,107.127183,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIDAUN,Kabupaten Cianjur,PUSKESMAS CIDAUN,referensi,-7.491561,107.361389,Gazeter Republik Indonesia 2023 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1703639768.pdf,Koordinat referensi 2023; belum diperiksa di lapangan.
PUSKESMAS CIJATI,Kabupaten Cianjur,PUSKESMAS CIJATI,referensi,-7.260469,107.033431,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIJEDIL,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PUSKESMAS CIKADU,Kabupaten Cianjur,PUSKESMAS CIKADU,referensi,-7.322483,107.255847,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIKALONGKULON,Kabupaten Cianjur,PUSKESMAS CIKALONGKULON,referensi,-6.713386,107.212331,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS CIKONDANG,Kabupaten Cianjur,PUSKESMAS CIKONDANG,referensi,-6.878844,107.218472,Gazeter Republik Indonesia 2023 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1703639768.pdf,Koordinat referensi 2023; belum diperiksa di lapangan.
PUSKESMAS CILAKU,Kabupaten Cianjur,PUSKESMAS CILAKU,referensi,-6.884231,107.126133,OpenStreetMap - bangunan fasilitas,https://www.openstreetmap.org/way/1285194671,Titik representatif rata-rata simpul unik bangunan bernama; bukan pintu masuk.
PUSKESMAS CIRANJANG,Kabupaten Cianjur,PUSKESMAS CIRANJANG,referensi,-6.81386,107.24424,"Kemenkes - Buku Informasi Mudik 2018, halaman 92",https://sehatnegeriku.kemkes.go.id/wp-content/uploads/2018/06/BUKU-INFORMASI-MUDIK-TAHUN-2018-FINAL.pdf,Referensi historis 2018; lokasi terkini perlu konfirmasi.
PUSKESMAS GEKBRONG,Kabupaten Cianjur,PUSKESMAS GEKBRONG,referensi,-6.86797,107.03719,"Kemenkes - Buku Informasi Mudik 2018, halaman 92",https://sehatnegeriku.kemkes.go.id/wp-content/uploads/2018/06/BUKU-INFORMASI-MUDIK-TAHUN-2018-FINAL.pdf,Referensi historis 2018; lokasi terkini perlu konfirmasi.
PUSKESMAS GUNUNGBITUNG,Kabupaten Cianjur,PUSKESMAS GUNUNGBITUNG,referensi,-7.314403,107.091844,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS HAURWANGI,Kabupaten Cianjur,PUSKESMAS HAURWANGI,referensi,-6.810875,107.29455,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS KADEMANGAN,Kabupaten Cianjur,PUSKESMAS KADEMANGAN,referensi,-6.767022,107.201108,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS KADUPANDAK,Kabupaten Cianjur,PUSKESMAS KADUPANDAK,referensi,-7.258492,107.047494,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS KARANGTENGAH,Kabupaten Cianjur,PUSKESMAS KARANGTENGAH,referensi,-6.804547,107.167533,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS LELES,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PUSKESMAS MUKA,Kabupaten Cianjur,PUSKESMAS MUKA,referensi,-6.810111,107.148103,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS NAGRAK,Kabupaten Cianjur,PUSKESMAS NAGRAK,referensi,-6.832314,107.117978,Gazeter Republik Indonesia 2023 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1703639768.pdf,Koordinat referensi 2023; belum diperiksa di lapangan. Ada rencana relokasi pada Mei 2026; koordinat baru belum terkonfirmasi.
PUSKESMAS NARINGGUL,Kabupaten Cianjur,PUSKESMAS NARINGGUL,referensi,-7.3344,107.328347,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS RATWAT INAP SINDANGBARANG,Kabupaten Cianjur,PUSKESMAS SINDANGBARANG,referensi,-7.453375,107.141484,OpenStreetMap - bangunan fasilitas,https://www.openstreetmap.org/way/1281522784,"Padanan nama/kode: PUSKESMAS SINDANGBARANG. Lokasi kompleks fasilitas, bukan ruang pelayanan. Titik representatif rata-rata simpul unik bangunan bernama; bukan pintu masuk."
PUSKESMAS RAWAT INAP MANDE,Kabupaten Cianjur,PUSKESMAS MANDE,referensi,-6.75433,107.19707,"Kemenkes - Buku Informasi Mudik 2018, halaman 92",https://sehatnegeriku.kemkes.go.id/wp-content/uploads/2018/06/BUKU-INFORMASI-MUDIK-TAHUN-2018-FINAL.pdf,"Padanan nama/kode: PUSKESMAS MANDE. Lokasi kompleks fasilitas, bukan ruang pelayanan. Referensi historis 2018; lokasi terkini perlu konfirmasi."
PUSKESMAS SINDANGKERTA,Kabupaten Cianjur,PUSKESMAS SINDANGKERTA,referensi,-7.178029,107.1358125,Tautan peta pada situs resmi Puskesmas Sindangkerta,https://pkmsindangkerta.cianjurkab.go.id/,Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan.
PUSKESMAS SUKAMAHI,Kabupaten Cianjur,PUSKESMAS SUKAMAHI,referensi,-6.703464,107.120847,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS SUKANAGALIH,Kabupaten Cianjur,PUSKESMAS SUKANAGALIH,referensi,-6.700847,107.052936,Gazeter Republik Indonesia 2023 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1703639768.pdf,Koordinat referensi 2023; belum diperiksa di lapangan.
PUSKESMAS SUKARESMI,Kabupaten Cianjur,PUSKESMAS SUKARESMI,referensi,-6.7248,107.077792,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS TAKOKAK,Kabupaten Cianjur,PUSKESMAS TAKOKAK,referensi,-7.049528,107.004142,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
PUSKESMAS TANGGEUNG,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RANI APRIANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RD DINA ANDRIANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RESGIAWATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RINA MAULIDA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RISMAWATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RITA KARLINA SUHERLAN S TR KEB BIDAN,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
RS BHAYANGKARA,Kabupaten Cianjur,RS BHAYANGKARA,referensi,-6.819046,107.140631,Pusdokkes Polri - RS Bhayangkara Cianjur,https://pusdokkes.polri.go.id/Facility/50/rumah-sakit-bhayangkara-tk-iv-cianjur,Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan.
RS UMUM DAERAH PAGELARAN,Kabupaten Cianjur,RSUD PAGELARAN,referensi,-7.21475,107.139531,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,"Padanan nama/kode: RSUD PAGELARAN. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat referensi 2022; belum diperiksa di lapangan."
RS UMUM DAERAH SAYANG,Kabupaten Cianjur,RSUD SAYANG,referensi,-6.80997,107.14099,OpenStreetMap; identitas kode 3203015 dikonfirmasi SIRS Kemenkes,https://www.openstreetmap.org/way/286012485,"Padanan nama/kode: RSUD SAYANG. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan."
RSUD CIMACAN,Kabupaten Cianjur,RSUD CIMACAN,referensi,-6.720514,107.032372,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
RSUD PAGELARAN,Kabupaten Cianjur,RSUD PAGELARAN,referensi,-7.21475,107.139531,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,Koordinat referensi 2022; belum diperiksa di lapangan.
RSUD SAYANAG,Kabupaten Cianjur,RSUD SAYANG,referensi,-6.80997,107.14099,OpenStreetMap; identitas kode 3203015 dikonfirmasi SIRS Kemenkes,https://www.openstreetmap.org/way/286012485,"Padanan nama/kode: RSUD SAYANG. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan."
RSUD SAYANG,Kabupaten Cianjur,RSUD SAYANG,referensi,-6.80997,107.14099,OpenStreetMap; identitas kode 3203015 dikonfirmasi SIRS Kemenkes,https://www.openstreetmap.org/way/286012485,Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan.
RSUD SAYANG CIANJUR,Kabupaten Cianjur,RSUD SAYANG,referensi,-6.80997,107.14099,OpenStreetMap; identitas kode 3203015 dikonfirmasi SIRS Kemenkes,https://www.openstreetmap.org/way/286012485,"Padanan nama/kode: RSUD SAYANG. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan."
SRI NURHAYATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
SUSAN SUSIANTI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
TPMB DELLA MUTIARA APRILIA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
TPMB IMAS MIMIN RUSMIAWATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
TPMB NINA SITI NURJANAH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
VERA SRI YULIANTI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
YUNITA SRIWAHYUNI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
